Citi_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Alugan,PH,12.2188,125.4808,82.62,82,100,11.97,heavy intensity rain
130,Sioux Lookout,CA,50.1001,-91.917,15.87,86,100,9.22,overcast clouds
131,Ostrovnoy,RU,68.0531,39.5131,37.02,72,100,13.98,overcast clouds
132,Makokou,GA,0.5738,12.8642,67.71,98,99,1.48,overcast clouds
133,Grand Gaube,MU,-20.0064,57.6608,72.37,58,1,1.01,clear sky
134,Salalah,OM,17.0151,54.0924,75.29,78,0,2.3,clear sky
135,Kovdor,RU,67.5662,30.4758,26.44,91,96,2.3,overcast clouds
136,Trzebiatow,PL,54.0615,15.2648,27.05,73,7,11.54,clear sky
137,Liepaja,LV,56.5419,21.0367,31.98,69,100,11.5,overcast clouds
138,Russkaya Polyana,UA,49.417,31.9201,29.19,82,100,7.34,overcast clouds
139,Villa Maria,AR,-32.4075,-63.2402,77.83,41,0,10.07,clear sky
140,Tiksi,RU,71.6872,128.8694,-2.45,90,100,4.81,overcast clouds
141,Myitkyina,MM,25.3833,97.4,71.47,43,0,2.24,clear sky
142,Chabahar,IR,25.2919,60.643,76.93,71,16,7.23,few clouds
143,Westport,US,41.1415,-73.3579,40.75,65,0,10.36,clear sky
144,Cayenne,GF,4.9333,-52.3333,77.04,88,0,2.3,clear sky
145,Xiaolingwei,CN,32.0333,118.85,58.98,82,96,9.89,overcast clouds
146,Biankouma,CI,7.7391,-7.6138,65.66,62,4,2.08,clear sky
147,Caluquembe,AO,-13.7833,14.6833,59.04,93,60,1.59,light rain
148,Ponta Do Sol,PT,32.6667,-17.1,68.72,78,22,7.92,few clouds
149,Bouna,CI,9.2667,-3.0,68.61,38,24,2.68,few clouds
150,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,74,75,2.3,broken clouds
151,Nome,US,64.5011,-165.4064,35.67,93,100,12.66,light rain
152,Cape Town,ZA,-33.9258,18.4232,59.92,75,0,5.75,clear sky
153,Antigonish,CA,45.6169,-61.9986,33.96,77,17,5.99,few clouds
154,Tiarei,PF,-17.5333,-149.3333,82.42,79,68,6.85,broken clouds
155,Kushiro,JP,42.975,144.3747,43.75,45,40,10.36,scattered clouds
156,Kodiak,US,57.79,-152.4072,42.31,93,100,9.22,light rain
157,Punta Arenas,CL,-53.15,-70.9167,48.31,61,20,16.11,few clouds
158,Huarmey,PE,-10.0681,-78.1522,64.65,84,86,6.71,overcast clouds
159,Souillac,MU,-20.5167,57.5167,61.18,88,20,6.91,few clouds
160,Stockelsdorf,DE,53.8905,10.6258,35.55,83,100,11.5,light snow
161,Camacha,PT,33.0833,-16.3333,65.62,83,40,12.66,scattered clouds
162,Wonthaggi,AU,-38.6044,145.5913,65.03,52,0,4.29,clear sky
163,San Carlos De Bariloche,AR,-41.1456,-71.3082,56.95,62,40,12.66,moderate rain
164,Monrovia,LR,6.3005,-10.7969,75.81,89,31,4.7,scattered clouds
165,Liancheng,CN,24.0519,105.075,67.8,80,97,3.33,overcast clouds
166,Kizner,RU,56.2749,51.508,22.42,88,100,12.33,overcast clouds
167,Katsuura,JP,35.1333,140.3,61.38,65,90,11.59,overcast clouds
